年,週,就診類別,年齡別,縣市,腸病毒健保就診人次,健保就診總人次
2008,14,住院,0-2,台中市,0,104
2008,14,住院,0-2,台北市,2,151
2008,14,住院,0-2,台東縣,0,14
2008,14,住院,0-2,台南市,0,15
2008,14,住院,0-2,宜蘭縣,0,44
2008,14,住院,0-2,花蓮縣,0,16
2008,14,住院,0-2,金門縣,0,1
2008,14,住院,0-2,屏東縣,0,17
2008,14,住院,0-2,苗栗縣,0,1
2008,14,住院,0-2,桃園市,0,139
2008,14,住院,0-2,高雄市,2,86
2008,14,住院,0-2,基隆市,0,20
2008,14,住院,0-2,雲林縣,0,3
2008,14,住院,0-2,新北市,0,42
2008,14,住院,0-2,新竹市,0,39
2008,14,住院,0-2,新竹縣,0,6
2008,14,住院,0-2,嘉義市,0,18
2008,14,住院,0-2,嘉義縣,0,18
2008,14,住院,0-2,彰化縣,5,103
2008,14,住院,10-14,台中市,0,55
2008,14,住院,10-14,台北市,0,49
2008,14,住院,10-14,台東縣,0,2
2008,14,住院,10-14,台南市,0,9
2008,14,住院,10-14,宜蘭縣,0,11
2008,14,住院,10-14,花蓮縣,0,5
2008,14,住院,10-14,金門縣,0,1
2008,14,住院,10-14,南投縣,0,1
2008,14,住院,10-14,屏東縣,0,10
2008,14,住院,10-14,苗栗縣,0,1
2008,14,住院,10-14,桃園市,0,29
2008,14,住院,10-14,高雄市,0,27
2008,14,住院,10-14,基隆市,0,7
2008,14,住院,10-14,雲林縣,0,2
2008,14,住院,10-14,新北市,0,11
2008,14,住院,10-14,新竹市,0,7
2008,14,住院,10-14,新竹縣,0,1
2008,14,住院,10-14,嘉義市,0,5
2008,14,住院,10-14,嘉義縣,0,4
2008,14,住院,10-14,彰化縣,0,27
2008,14,住院,15+,台中市,0,2614
2008,14,住院,15+,台北市,0,4313
2008,14,住院,15+,台東縣,0,195
2008,14,住院,15+,台南市,0,922
2008,14,住院,15+,宜蘭縣,0,490
2008,14,住院,15+,花蓮縣,0,409
2008,14,住院,15+,金門縣,0,38
